SL,NAME OF RETAIL OUTLET,LOCATION,DISTRICT,STATE,BANK
35,ESPEE ENTERPRISES,"ESPEE ENTERPRISES GURLA VILLAGE,OPP GVOT JR COLLEGE GURLA",VIZIANAGARAM,Andhra Pradesh,SBI
36,RADHAKRISHNA FILLING STATION,"RADHAKRISHNA FILLING STATION KISAN SEVA KENDRA,MELIAPUTTI MANDAL CHAPARA",SRIKAKULAM,Andhra Pradesh,SBI
37,SRI SARASWATHI FUELS,"SRI SARASWATHI FUELS KAIKALURU ROAD,VENKATAPURAM PANCHAYAT ELURU",WEST GODAVARI,Andhra Pradesh,SBI
38,M/S SRINIVASA KISAN FILLING STATION,"SY.NO: 177/A2B, ALLAGADDA ROAD,,DORNIPADU",KURNOOL,Andhra Pradesh,SBI
39,GRAMAPANCHAYATHI RAITHU AGENCY,"KALAKADA VILLAGE KALAKADA MANDAL,KALAKADA VILLAGE KALAKADA VILLAGE",CHITTOOR,Andhra Pradesh,SBI
40,SVKML Agencies,"S V K M L AGENCIES RAMBILLI,RAMBILLI RAMBILLI",VISHAKHAPATNAM,Andhra Pradesh,SBI
41,VISWAHAS FILLING STATION,"IOCL DEALER CHANUBANDA VILLAGE,CHATRAYI MANDAL",KRISHNA,Andhra Pradesh,SBI
42,MS BATTULURI ADI NARAYANA KSK,"BHAGATSINGH COLONY BHAGATSINGH COLONY,BHAGATSINGH COLONY PUNGANUR",CHITTOOR,Andhra Pradesh,SBI
43,PRTASANTHI KISAN SEVAFILLING STATION,"SY NO 368 3A1 MAHANANDI VILLAGE,MAHANANDI MANDAL KURNOOL",KURNOOL,Andhra Pradesh,SBI
44,MS SATWIKA PETROLEUMS,"SY NO 622 2 NEAR BUS STAND,MOGALLUR VELIGANDLA MANDAL",PRAKASAM,Andhra Pradesh,SBI
45,RAHAMAN KISAN SEVA KENDRAM,"RAHIMAN KISAN KENDRAM GONEGANDLA,GANJEHALLI ROAD GONEGANDLA",KURNOOL,Andhra Pradesh,SBI
46,SAI MEGHANA KISSAN SEVA KENDRAM,"IOC DEALER, KONAMPET, GALIVEEDU,GALIVEEDU",CUDDAPAH,Andhra Pradesh,SBI
47,KOSIGI KISSAN FILLING STATION,"sy no: 287, near railway station, adoni road,KOSIGI",KURNOOL,Andhra Pradesh,SBI
48,NANDINI KISAN SEVA KENDRA,"S Y NO 100-1B, RAYADURG- BELLARY ROAD,KALYAM VILLAGE",ANANTAPUR,Andhra Pradesh,SBI
49,BNSR FILLING STATION KSK,"IOC DEALER, 2461A DEVAPATLA ROAD,CHINNAMANDEM",CUDDAPAH,Andhra Pradesh,SBI
50,Sai Ram Agencies,"S NO 284 3 MAIN ROAD KORUKONDA,SAI RAMA AGENCIES RAJAHMUNDRY",EAST GODAVARI,Andhra Pradesh,SBI
51,Sri Lakshmi Venkateswara F/S,"MADANAPALLE ROAD MADANAPALLE ROAD,MADANAPALLE ROAD THAMBALLAPALLI",CHITTOOR,Andhra Pradesh,SBI
52,SRI SAI SRINIVASA KISAN SEVA KENDRA,"SY NO 343/1A,SURAYAPALEM,PODALAKURM,PODALKUR(NELLORE(DT)",NELLORE,Andhra Pradesh,SBI
53,GIRIDHARI FILLING STATION,"GIRIDHARI FILLING STATION SRIMUKHALINGAM,JALUMURU MANDAL SRIMUKHALINGAM",SRIKAKULAM,Andhra Pradesh,SBI
54,SRI SRIDHAR SERVICES,"IOC DEALER, Butchinaidu Kandriga Village,B.N.KANDRIGA(KANMANAMBEDU)",CHITTOOR,Andhra Pradesh,SBI
55,"G NOSHITAREDDY AGRO & OIL FILLINGSTATION(KSK)","D NO 326/A, VATTICHERUKURU VILLAGE, GUNTUR,ap",GUNTUR,Andhra Pradesh,SBI
56,PMR AGENCIES,"NEAR APOLLO HOSPITAL GAJULAPALLI ROAD,ARAGONDA VILLAGE AND POST ARAGONDA",CHITTOOR,Andhra Pradesh,SBI
57,DORAGARI PETROL BUNK,"D NO 2 77 5 MAIN ROAD,GANDEPALLI VILLAGE GANDEPALLI RAJAHMUNDRY",EAST GODAVARI,Andhra Pradesh,SBI
58,BHAGYALAKSHMI FILLING STATION,"SURVEY NO 348 1B 3A TARLUPADU VILLAGE,TARLUPADU VILLAGE TARLUPADU",PRAKASAM,Andhra Pradesh,SBI
59,SRI LASKHMI NARASIMHA AGENCIES,"B VENKATESWARA RAO DR NO 20 76 3 MAIN ROAD,ANTHARVEDI ANTHARVAEDI",EAST GODAVARI,Andhra Pradesh,SBI
60,RADHIKA FILLING STATION,"RADHIKA FILLING STATION NANDIGAMA VILLAGE,NANDIGAMA SATTENAPALLI",GUNTUR,Andhra Pradesh,SBI
61,KAVURI FILLING STATION,"IOC DEALER NEMALI VILLAGE,PETROL BUNK GAMPALAGUDEM MANDAL",KRISHNA,Andhra Pradesh,SBI
62,KONDAPALLI AUTOMOBILES-,"4-79 BYPASS ROAD KONDAPALLI,KONDAPALLI",KRISHNA,Andhra Pradesh,SBI
63,GIDEON FARM SERVICE,"GIDEON FARM SERVICES MAIN ROAD IOC PETROL BUNK,SRI RAM NAGAR 6 TH LANE ELURU",WEST GODAVARI,Andhra Pradesh,SBI
64,Sri Venkata Rajeswari Filling Station,"Thandava Junction, Y.D. PETA, Natavaram Mandalam, Visakhapatnam District.,ap",VISHAKHAPATNAM,Andhra Pradesh,SBI
65,M/s k visveswara reddy,"sri k visveswara reddy,Servey no : 777/A2, ksk ioc, gudur mandal, karnool,AP",KURNOOL,Andhra Pradesh,SBI
66,M/S SREE LAKSHMI FILLING STATION,"RAMACHANDRAPURAM MAIN ROAD,NADIPALLI",WEST GODAVARI,Andhra Pradesh,SBI
67,SRI VARALAXMI KISSAN FILLING STATION,"NEAR MDO BUILDING,TUGGALI KURNOOL DIST",KURNOOL,Andhra Pradesh,SBI
68,PREETHAM MARKETINGS,"LAKKAVARAM,LAKKAVARAM",EAST GODAVARI,Andhra Pradesh,SBI
69,MEENAKSHI FILLING STATION,"LAKSHMIPURAM,KRUTHIVENNU MANDAL,MASULIPATNAM",KRISHNA,Andhra Pradesh,SBI
70,VIJAYA KRISHNA OIL FILLING STATION,"VIJAYA KRISHNA OIL FILLING STATION KORUKOLLU VILLAGE KORUKOLLU KALIDINDIMANDAL,Korukollu Kalidindi Mandal",KRISHNA,Andhra Pradesh,SBI
71,LAKSHMANA RAJU FILLING STATION,"PALAKONDA ROAD LAKSHMANARAJU FILLING STATION,AMADALAVALASA AMADALAVALASA",SRIKAKULAM,Andhra Pradesh,SBI
72,SRI KRISHNA DATTA FILLING STATION,"SRI KRISHNA DATTA FILLING STATION RAMACHANDRAPURAM,OPPANGI SRIKAKULAM",SRIKAKULAM,Andhra Pradesh,SBI
73,CHANDRAVATHI FILLING STATION,"D NO 180 HANDRAVATHI FILLING STATION INDIAN OIL DE,YELESWARAM MANDAL YELESWARAMMANDAL",EAST GODAVARI,Andhra Pradesh,SBI
74,SRI NEELAMANI ENTERPRISES,"SRI NEELAMANI ENTERPRISES BHAIRI,SINGUPURAM SRIKAKULAM",SRIKAKULAM,Andhra Pradesh,SBI
75,SRI VENKATESWARA INDIAN OIL AGENCY,"SRI VENKATESWARA INDIAN OIL AGENCY SANTHA BOMMALI,SASI BHUSHANA RAOKOTABOMMALI",SRIKAKULAM,Andhra Pradesh,SBI
77,HANUMAN FILLING STATION,"HANUMAN FILLING STATION AGADALA LANKA VILLAGE,AGADALA LANKA BHIMADOLE MANDALELURU",WEST GODAVARI,Andhra Pradesh,SBI
78,SRI VENKATAGANESH ENTERPRISES,"IOCL DEALER CHATAPARRU ROAD,VENKATAPURAM ELURU",WEST GODAVARI,Andhra Pradesh,SBI
79,GRAMA PANCHAYATI RAITU AGENCY,"KALAKADA VILLAGE KALAKADA MANDAL,KALAKADA VILLAGE KALAKADA VILLAGE",CHITTOOR,Andhra Pradesh,SBI
80,SRI UMA MAHESWARA AGRO SERVICE,"UNDI ROAD NEAR ANAKODERU CANAL,NEAR MULTIPLEX THEATRE BHIMAVARAM",WEST GODAVARI,Andhra Pradesh,SBI
81,SRI SAI SARVAN SERVICE STATION,"DNO 2 THIMMAPURAM THIMMAPURAM,THIMMAPURAM DWARAKA TIRUMALA",WEST GODAVARI,Andhra Pradesh,SBI
82,AGENCIES VARASIDDIVINAYAKA,"S NO 206 1B TRUNK ROAD S NO 206 1B TRUNK ROAD,S NO 206 1B TRUNK ROADVARADAIAHPALEM",CHITTOOR,Andhra Pradesh,SBI
83,AMARALINGESWARA OIL FILLING STATION,"128A4 SATTENAPALLI ROAD,BESIDES INDANE GAS AGENCY DHARANIKOTA AMARAVATHI",GUNTUR,Andhra Pradesh,SBI
84,Ms THIRUMALA OIL FILLING AGENCIES KSK,"V L PUAM VILLAGE 197 RAMAPURAM POST,GUDIPALA MANDAL V L PAUM VILLAGE",CHITTOOR,Andhra Pradesh,SBI
85,SRI SAI BALAJI KSK,"SRI SAI BALAJI KSK D NO 188 4 VIKRUTHAMALA,PAPANAIDUPET RENIGUNTA",CHITTOOR,Andhra Pradesh,SBI
86,SRI JHANSI LKSHMI SERVICE STATION,"R S NO 245 MELAM VARI MERAKA,NEAR TELEPHONE EXCHANGE PERUPALEM MOGALTURUMANDAL",WEST GODAVARI,Andhra Pradesh,SBI
87,VEERA HANUMAN FILLING STATION,"8 168D NEAR NEW KALYANA MANDAPAM,EAMANI VILLAGE DUGGIRALA EAMANI",GUNTUR,Andhra Pradesh,SBI
88,RADHA KRISHNA FILLING STATION,"IOCL BUNK 2 57,KORU UPPLAPADU VIL KONDEPI MANDAL KORU UPPALAPADU",PRAKASAM,Andhra Pradesh,SBI
89,VENKATRAMANN AND CO,"D NO 1 238 1 HIGH SCHOOL ROAD KESANAPALLI,KESANAPALLI MALKIPURAM",EAST GODAVARI,Andhra Pradesh,SBI
90,ALICE KISHAN SEWA KENDRA,"NIZ DANDUA MORIGAON,DIST MORIGAON",MORIGAON,Assam,SBI
91,MAJGAON KISAN SEWA KENDRA,"VILL MAJGAON, DT BONGAIGAON,MAJGAON",BONGAIGAON,Assam,SBI
92,ZAMAN KISAN SEVA KENDRA,"VILL JAMUNAMUKH,NAGAON",NAGAON,Assam,SBI
93,WAHIDA KISAN SEVA KENDRA,"vill & po kalgachia, ps kalgachia,BARPETA",BARPETA,Assam,SBI
94,BHAGAT KISAN SEVA KENDRA,"WARD NO.2, LAKHIPUR TOWN, LAKHIPUR,LAKHIPUR",GOALPARA,Assam,SBI
95,KISAN ENTERPRISE,"AMBAGAN, PO PS AMBAGAN,NAGAON",NAGAON,Assam,SBI
96,JYOTI KISAN SEVA KENDAR,"ANDHREJULI PO RANI KAMRUP RURAL,GUWAHATI",KAMRUP,Assam,SBI
97,BAJRANG FUELS AND FARM,"DEBOSTHAN PO:- DEBOSTHAN BAZAR,NAGAON",NAGAON,Assam,SBI
98,RUPAHI KISHAN SEVA KENDRA,"VILL:- ARUNA PO:- RUPAHI,NAGAON",NAGAON,Assam,SBI
99,BALAJI KISAN SEVA KENDRA,"TELIAPATTY, MELENGIAL GAON, LAHOAL,DIBRUGARH",DIBRUGARH,Assam,SBI
100,W.S. KISHAN SEVA KENDRA,"SANTAK 107 NO GRANT,PO-SANTAK,SANTAK",SIBSAGAR,Assam,SBI
101,RUBI KISAN SEVA KENDRA,"VILL: BALAPARA, NEAR BALAPARA BAZAR,BALAPARA",BONGAIGAON,Assam,SBI
102,D H SERVICE & FILLING STATION,"NIZ KHANIKAR, SESSA, MANCOTTA ROAD,DIBRUGARGH",DIBRUGARH,Assam,SBI
103,KAMALESH KISAN SEVA KENDRA,"VILL: DEBOTTAR HASDAH-IV(KALAHAT), P.O. KISMATHASDAH, DT: DHUBRI,KALAHAT",DHUBURI,Assam,SBI
104,GOLAKGANJ KISAN SEVA KENDRA,"NEAR GOLAKGANJ BLOCK OFFICE, P.O. GOLAKGANJ,GOLAKGANJ",DHUBURI,Assam,SBI
105,SARMAH AND CO.,"Annapurna Ghat, Tarapur,SILCHAR",Not Available,Assam,SBI
106,SARMAH AND CO.,"Annapurna Ghat, Tarapur,SILCHAR",Not Available,Assam,SBI
107,S.M.DEB FILLING STATION,"CENTRAL ROAD, Opp. Metro bazar,SILCHAR",Not Available,Assam,SBI
108,S.M.DEB FILLING STATION,"CENTRAL ROAD, Opp. Metro bazar,SILCHAR",Not Available,Assam,SBI
109,BIKASH KISAN SEWA KENDRA,"CHARINGIA GAON, KHONAMUKH, NEAR NAMGHAR, JORHAT.,JORHAT",JORHAT,Assam,SBI
110,SARKAR KISHAN SEVA KENDRA,"KHAIRABARI, PO- BARPETA ROAD, DIST- BARPETA,BARPETA ROAD",BARPETA,Assam,SBI
111,BAHANA KISAN SEWA KENDRA,"NIMATI ROAD, CHARIGAON,,NEAR BHARALI CHUK PHE",JORHAT,Assam,SBI
112,MADHAPUR KISAN SEVA KENDRA,"MADHOPUR, NA ALI, TITABAR, JORHAT.,OPP PADMARAM SHARMA H S SCHOOL",JORHAT,Assam,SBI
113,S AND SONS SERVICE STATION,"NEAR SBI SALKOCHA SALKOCHA KOKRAJHAR ROAD,SALKOCHA SALKOCHA,",DHUBURI,Assam,SBI
114,GITARTHA KISHAN SEVA KENDRA,"KATHARBARI PO DHAKUAKHANA,PS DHAKUAKHANA LAKHIMPUR",LAKHIMPUR,Assam,SBI
115,KALICHARAN KSK,"Tihu Town, Ward No-1, Dist Nalbari,Tihu",NALBARI,Assam,SBI
116,GIRIBALA KISHAN SEVA KENDRA,"Vill. Rupiabathan, PO Chamata , PS Belsor,Nalbari",NALBARI,Assam,SBI
117,GGC SERVICE AND FILLING STATION,"BORHAT HABI GAON,THANA ROAD,IN FRONT OF BORHAT THANA,BORHAT",SIBSAGAR,Assam,SBI
118,MOZARGURI KISAN SEWA KENDRA,"No. 1 Gomariguri , Near Gomari Post Office,Golaghat",GOLAGHAT,Assam,SBI
120,BORGOHAIN FUEL FILLING CENTRE,"Chutiakari, Near Charaibahi HS School,JORHAT",JORHAT,Assam,SBI
121,JAMUGURI FUEL STATION,"Jamuguri Barpathar Road, Jamuguri Tiniali, Golaghat,Golaghat",GOLAGHAT,Assam,SBI
122,DHEKIAJULI KSK,"DHEKIAJULI,NEAR HATICHUNGI LP SCHOOL,JORHAT",JORHAT,Assam,SBI
123,MAA MONASHA KISHAN SEVA KENDRA,"Vill- Jhulanpul, PO- Kabuganj,Panibhara, Silchar",CACHAR,Assam,SBI
124,NILACHAL FUEL CENTRE,"KAKOTIBARI TINIALI, PO KAKOTIBARI, BHOJU MORAN ROAD, NEAR AGVB,Sonari",SIBSAGAR,Assam,SBI
125,AMBARI KISAN SEVA KENDRA,"VILL AND PO AMBARI, PS:BAGUON, NEAR MACH PUBLIC SCHOOL.,Goalpara",GOALPARA,Assam,SBI
126,SWASTI BIVAKISAN SEWA KENDRA,"SEPON SUNPURA ROAD NEAR ASSAM GRAMIN VIKASH BANK,SIBSAGAR",SIBSAGAR,Assam,SBI
127,MANDAL AND SONS K S K,"NO.1 NACHANGURI, NH-31, NEAR AIE VALEEY PETROL DEPOT, MANIKPUR,MANIKPUR",BONGAIGAON,Assam,SBI
128,KALITA KISAN SEVA KENDRA,"VILLAGE DEOCHUTAL MIKIRPARA CHAKARDOI DIPAR BEEL R,GARCHUK GUWAHATI",KAMRUP,Assam,SBI
129,B K Filling Station,"P.S- BIHPURIA P.O - BONGALMARA Dist - Lakhimpur , Assam BONGALMARA",LAKHIMPUR,Assam,SBI
130,JAI SHIV OIL CENTRE,"AT+POBHAGWATIPUR,DIST.MADHUBANI847236,MADHUBANI",MADHUBANI,Bihar,SBI
131,ANURADHA DEEPAK PETROLEUM,"NEAR NARKATIYA CHOWK (TOWARDS RAILWARY GUMTI) RAJNAGAR,MADHUBANI",MADHUBANI,Bihar,SBI
132,SHYAMA FUELS,"MANIKA HARI KISHAN, PO - MANIKA, PS - MUSAHRI,MUZAFFARPUR",MUZAFFARPUR,Bihar,SBI
133,FATUHA FUELS,"Industrial Area More, Fatwah,PATNA",PATNA,Bihar,SBI
134,KESHAV FUEL CENTRE,"KhuskaiBaj Bazar,Purnea",PURNIA,Bihar,SBI
135,BINA FUEL CENTRE,"LAXMINIYA,TRIBENIGANJ,SUPAUL-852214,SUPAUL",SUPAUL,Bihar,SBI
136,KUMAR FUEL CENTRE,"AT-Bawanganj(korha),Semapur,Katihar,Katihar",KATIHAR,Bihar,SBI
137,SHARDA PETROLEUM,"SHARDA PETROLEUM NEAR POWER HOUSE SIKANDRA ROAD,JAMUI",GOPALGANJ,Bihar,SBI
138,NITU KISAN SEWA KENDRA,"MAUZA-KOUCHI THANA-GURARU,DIST-GAYA,GAYA",GAYA,Bihar,SBI
139,sanjay kishan seva kendra,"birpur BIRPUR,BIRPUR BIRPUR",SUPAUL,Bihar,SBI
140,DEO FILLING STATION,"DEO FILLING STATION AKBARPUR,PS BHAWANIPUR PURNEA",PURNIA,Bihar,SBI
141,AJWA FUEL CENTER,"KANHARIYA STHAN,PURNEA",PURNIA,Bihar,SBI
142,JAI UGNA MAHARAJ K S K,"JAI UGNA MAHADEV K S K,DARBAHNGA",DARBHANGA,Bihar,SBI
143,MAA UGRATARA PETROLIUM,"SATARWARA CHOWK,MAHISHI,SAHARSA",SAHARSA,Bihar,SBI
144,BABA BAIDYANATH PETROLIUM,"DASHRATHPUR,DHARHARA",MUNGER,Bihar,SBI
145,OM KISHAN SEVA KENDRA,"OM KISHAN SEVA KENDRA USHRI,USHRI ARWAL",ARWAL,Bihar,SBI
146,MS BRAHMESHWAR NATH FILLING STATION,"BELWALYAN BELWALYAN,BELWALYAN BELWALYAN",ROHTAS,Bihar,SBI
147,JAY SHREE KRISHNA SERVICES,"GHOSI JEHANABAD ROAD,PO AND GHOSI",JAHANABAD,Bihar,SBI
148,SAI FUELING STATION,"ITARHI ROAD BUXAR ITARHI ROAD BUXAR,ITARHI ROAD BUXAR BUXAR",BUXAR,Bihar,SBI
149,LAKSHMI AGENCIES,"LAKSHMI AGENCIES BEEMANPATTI,MELPATTI ROAD GUDIYATTAM",GOPALGANJ,Bihar,SBI
150,MMK FUEL CENTER,"LACHCHANPUR KUNDALAY BOJHGAON PS JALAL GADH,DUMMY PURNEA",PURNIA,Bihar,SBI
151,RUCHI PETROLEUM,"KACHAHRI BALUWA SARSI NEAR RANIGANJ MORE,DUMMY PURNEA",PURNIA,Bihar,SBI
152,MS A K FUEL CENTRE,"MINAPUR SALMARI,SALMARI SALMARI",KATIHAR,Bihar,SBI
153,MS LAXMI SHYAM FUELS,"MS LAXMI SHYAM FUELS PLOT NO 408 P,SANHOLA BHAGALPUR",BHAGALPUR,Bihar,SBI
154,MS GAJADHAR PRASAD KISAN SEVA KENDRA,"PHULWARIA PS BARURAJ VIA MOTIPUR,PHULWARIA MUZAFFARPUR",MUZAFFARPUR,Bihar,SBI
155,PRABHAKAR KISAN SEVA KENDRA,"PRABHAKAR KISAN SEVA KENDRA PALI,GHANSHYAMPUR DARBHANGA",DARBHANGA,Bihar,SBI
156,KHUSAL SERVICE CENTRE,"KHUSAL SERVICE CENTRE BHAGIPATTI,KATEYA GOPALGANJ",GOPALGANJ,Bihar,SBI
157,M/S RAVI PETROLEUM KISAN SEV KENDRA,"SASAULA CHOWK SASAULA SITAMARHI,SITAMARHI",SITAMARHI,Bihar,SBI
158,RAVITA KISAN SEVA KENDRA,"CHALKARA NEAR MAKIYA PUL BASAITH,BASAITH BIHAR",MADHUBANI,Bihar,SBI
159,JEEVDANI KISAN SEVA KENDRA,"JEEVDANI KISAN SEWA KENDRA BADARJIMI LAKRI ROAD,LAKRI SIWAN",SEWAN,Bihar,SBI
160,MS YASMIN KISAN SEVA KENDRA,"TAYABPUR SALMARI,SALMARI SALMARI",KATIHAR,Bihar,SBI
161,MS MAA SHARDA SERVICE STATION,"BALRAMPUR BAIDOL BALRAMPUR,KATIHAR KATIHAR",KATIHAR,Bihar,SBI
162,MS ISHITHA ENTERPRISES,"NARAYANPUR BALIA BELOWN,SALMARI SALMARI",KATIHAR,Bihar,SBI
163,SIDDARTH K S K,"SIDDARTH K S K VILL PO RAJAPAKAD,VILL PO RAJAPAKAD PS AURAI MUZAFFARPUR",MUZAFFARPUR,Bihar,SBI
164,MS SITA FUEL CENTRE,"POGALBARI NARAYANPUR MANIHARI KATIHAR,MANIHARI",KATIHAR,Bihar,SBI
166,MS BYASPUR KISAN SEVA KENDRA,INDIANOIL KSK VYASPUR CHOWK WEST CHAMPARAN,WEST CHAMPARAN,Bihar,SBI
167,MS MAA DURGA FUEL CENTRE,"KUMARIPUR KATIHAR,KATIHAR KATIHAR",KATIHAR,Bihar,SBI
168,M S CHANAKYA PETROLEUM,"SANGRAMPUR VIA ARERAJ,EAST CHAMPARAN MOTIHARI",EAST CHAMPARAN,Bihar,SBI
169,BUDDHA KISAN SEVA KENDRA,"SURAJPURA GAYA BODHGAYA ROAD,PO AMWAN GAYA",GAYA,Bihar,SBI
170,Pawanputra Kisan Sewa Kendra,"PAWAN PUTRA KISAN SEVA KENDRAVILL AND PO SAJHUAR,VIA BAHERADARBHANGA",DARBHANGA,Bihar,SBI
171,HARAH BHOLA KISAN SEWA KENDRA,"HARAH BHOLA KISAN SEVA KENDRAVILL POHADDI,PO GHANSHYAMPURDARBHANGA",DARBHANGA,Bihar,SBI
172,HEERA FUEL,"HIRA FUELS VILL AND PO RAGHOPUR,VIA SAKRI DARBHANGA",DARBHANGA,Bihar,SBI
173,NARAYAN KISAN SEVA KENDRA,"NARAYAN KISAN SEVA KENDRA VILL HAVIDIH PO HAVIDIH,PS BAHERI DARBHANGA",DARBHANGA,Bihar,SBI
174,SUNNY FUEL CENTER,"VILL SIDHWALIA VILL SIDHWALIA,NEAR SUN RISE PUBLIC SCHOOL GOPALGANJ",GOPALGANJ,Bihar,SBI
175,RAGHAV PETROLEUM,"LAKSHMI AGENCIES BEEMANPATTI,MELPATTI ROAD GUDIYATTAM",GOPALGANJ,Bihar,SBI
176,SONA PETROLEUM,"VILL PO HARPUR BOCHHAP VIDAYAPATINAGAR,SAMASTIPUR",SAMASTIPUR,Bihar,SBI
